"Fan2021" "Kagawa2022" "Lui2021" "Petropoulos2016_ref" "Sozen2021" "Xiang2020_ref" "Yanagida2021" "Yanagida2021_ref" "Yu2021_5iLA" "Yu2021_PXGL"
"EPI_ICM" 566 566 1979 212 160 31 69 49 1673 1602
"PE" 1773 121 2209 31 31 15 45 15 289 422
"TE" 1133 354 1654 472 94 44 91 57 1626 1391
"unknown" 6722 23 1994 366 4682 32 17 22 862 1557
