"Fan2021" "Kagawa2022" "Lui2021" "Petropoulos2016_ref" "Sozen2021" "Xiang2020_ref" "Yanagida2021" "Yanagida2021_ref" "Yu2021_5iLA" "Yu2021_PXGL"
"EPI_ICM" 230 456 758 104 375 17 69 18 702 715
"PE" 461 56 910 50 578 9 9 23 372 416
"TE" 995 107 1024 927 294 31 137 72 1542 1363
"unknown" 8508 445 5144 0 3720 65 7 30 1834 2478
