"Fan2021" "Kagawa2022" "Lui2021" "Petropoulos2016_ref" "Sozen2021" "Xiang2020_ref" "Yanagida2021" "Yanagida2021_ref" "Yu2021_5iLA" "Yu2021_PXGL"
"EPI_ICM" 351 565 1626 204 115 26 70 44 1699 1781
"PE" 1503 110 2173 31 599 18 8 15 275 317
"TE" 668 228 1223 503 66 42 136 59 1467 1233
"unknown" 7672 161 2814 343 4187 36 8 25 1009 1641
