"Petropoulos2016_ref","Xiang2020_ref","Yanagida2021_ref","Yanagida2021","Kagawa2022","Lui2021","Sozen2021","Fan2021","Yu2021_5iLA","Yu2021_PXGL"
"NGenes",29613,25754,21420,21420,25274,21944,16534,22995,21847,21401
"NCells",1081,122,143,222,1064,7836,4967,10194,4450,4972
